"Iin","I1","I2"
0.0166,0.001879,0.00779
0.01664,0.001879,0.00779
0.01668,0.001879,0.00779
0.01672,0.001879,0.00779
0.01676,0.001879,0.00779
0.0168,0.001879,0.00779
0.01684,0.001879,0.00779
0.01688,0.001879,0.00779
0.01692,0.001879,0.00779
0.01696,0.001879,0.00779
0.017,0.001879,0.00779
0.01704,0.001879,0.00779
0.01708,0.001879,0.00779
0.01712,0.001879,0.00779
0.01716,0.001879,0.00779
0.0172,0.001879,0.00779
0.01724,0.001879,0.00779
0.01728,0.001879,0.00779
0.01732,0.001879,0.00779
0.01736,0.001879,0.00779
0.0174,0.001879,0.00779
0.01744,0.001879,0.00779
0.01748,0.001879,0.00779
0.01752,0.001879,0.00779
0.01756,0.001879,0.00779
0.0176,0.001879,0.00779
0.01764,0.001879,0.00779
0.01768,0.001879,0.00779
0.01772,0.001879,0.00779
0.01776,0.001879,0.00779
0.0178,0.001878,0.00779
0.01784,0.001879,0.00779
0.01788,0.001879,0.00779
0.01792,0.001879,0.00779
0.01796,0.001879,0.00779
0.018,0.001879,0.00779
0.01804,0.001879,0.00779
0.01808,0.001879,0.00779
0.01812,0.001879,0.00779
0.01816,0.001879,0.00779
0.0182,0.001879,0.00779
0.01824,0.001878,0.00779
0.01828,0.001878,0.00779
0.01832,0.001879,0.00779
0.01836,0.001878,0.00779
0.0184,0.001879,0.00779
0.01844,0.001879,0.00779
0.01848,0.001879,0.00779
0.01852,0.001879,0.00779
0.01856,0.001878,0.00779
0.0186,0.001879,0.00779
0.01864,0.001878,0.00779
0.01868,0.001878,0.00779
0.01872,0.001878,0.00779
0.01876,0.001878,0.00779
0.0188,0.001878,0.00779
0.01884,0.001878,0.00779
0.01888,0.001878,0.00779
0.01892,0.001878,0.00779
0.01896,0.001879,0.00779
0.019,0.001879,0.00779
0.01904,0.001879,0.00779
0.01908,0.001879,0.00779
0.01912,0.001878,0.00779
0.01916,0.001879,0.00779
0.0192,0.001878,0.00779
0.01924,0.001878,0.00779
0.01928,0.001878,0.00779
0.01932,0.001879,0.00779
0.01936,0.001879,0.00779
0.0194,0.001878,0.00779
0.01944,0.001879,0.00779
0.01948,0.001879,0.00779
0.01952,0.001879,0.00779
0.01956,0.001879,0.00779
0.0196,0.001879,0.00779
0.01964,0.001878,0.00779
0.01968,0.001878,0.00779
0.01972,0.001878,0.00779
0.01976,0.001878,0.00779
0.0198,0.001878,0.00779
0.01984,0.001878,0.00779
0.01988,0.001878,0.00779
0.01992,0.001878,0.00779
0.01996,0.001878,0.00779
0.02,0.001878,0.00779
