VGate,IChannel1,IChannel2,,IChannel3,IChannel4
1.2,0.000203,0.0001969,-1.97E-04,1.97E-04,0.000197
1.21,0.000209,0.000203,-2.03E-04,2.03E-04,0.000202
1.22,0.000215,0.000208,-2.08E-04,2.08E-04,0.000208
1.23,0.000221,0.000216,-2.16E-04,2.16E-04,0.000214
1.24,0.000228,0.000223,-2.23E-04,2.23E-04,0.00022
1.25,0.000235,0.000229,-2.29E-04,2.29E-04,0.000227
1.26,0.000242,0.000236,-2.36E-04,2.36E-04,0.000233
1.27,0.000248,0.000242,-2.42E-04,2.42E-04,0.00024
1.28,0.000255,0.000248,-2.48E-04,2.48E-04,0.000247
1.29,0.000262,0.000255,-2.55E-04,2.55E-04,0.000253
1.3,0.00027,0.000262,-2.62E-04,2.62E-04,0.00026
1.31,0.000277,0.000268,-2.68E-04,2.68E-04,0.000267
1.32,0.000284,0.000275,-2.75E-04,2.75E-04,0.000274
1.33,0.000292,0.000282,-2.82E-04,2.82E-04,0.000281
1.34,0.000299,0.000289,-2.89E-04,2.89E-04,0.000288
1.35,0.000307,0.000297,-2.97E-04,2.97E-04,0.000296
1.36,0.000314,0.000304,-3.04E-04,3.04E-04,0.000304
1.37,0.000322,0.000311,-3.11E-04,3.11E-04,0.000311
1.38,0.00033,0.000319,-3.19E-04,3.19E-04,0.000319
1.39,0.000338,0.000326,-3.26E-04,3.26E-04,0.000326
1.4,0.000346,0.000334,-3.34E-04,3.34E-04,0.000334
1.41,0.000354,0.000341,-3.41E-04,3.41E-04,0.000342
1.42,0.000363,0.000351,-3.51E-04,3.51E-04,0.00035
1.43,0.000371,0.000359,-3.59E-04,3.59E-04,0.000358
1.44,0.000379,0.000367,-3.67E-04,3.67E-04,0.000366
1.45,0.000388,0.000375,-3.75E-04,3.75E-04,0.000374
1.46,0.000396,0.000383,-3.83E-04,3.83E-04,0.000382
1.47,0.000405,0.000391,-3.91E-04,3.91E-04,0.00039
1.48,0.000414,0.0004,-4.00E-04,4.00E-04,0.000399
1.49,0.000423,0.000408,-4.08E-04,4.08E-04,0.000408
1.5,0.000432,0.000417,-4.17E-04,4.17E-04,0.000416
1.51,0.000441,0.000426,-4.26E-04,4.26E-04,0.000425
1.52,0.00045,0.000435,-4.35E-04,4.35E-04,0.000433
1.53,0.000459,0.000444,-4.44E-04,4.44E-04,0.000442
1.54,0.000468,0.000453,-4.53E-04,4.53E-04,0.000451
1.55,0.000477,0.000462,-4.62E-04,4.62E-04,0.00046
1.56,0.000487,0.000471,-4.71E-04,4.71E-04,0.000469
1.57,0.000496,0.00048,-4.80E-04,4.80E-04,0.000478
1.58,0.000506,0.000489,-4.89E-04,4.89E-04,0.000487
1.59,0.000515,0.000498,-4.98E-04,4.98E-04,0.000496
1.6,0.000525,0.000508,-5.08E-04,5.08E-04,0.000506
1.61,0.000535,0.000517,-5.17E-04,5.17E-04,0.000515
1.62,0.000544,0.000527,-5.27E-04,5.27E-04,0.000525
1.63,0.000554,0.000536,-5.36E-04,5.36E-04,0.000534
1.64,0.000565,0.000546,-5.46E-04,5.46E-04,0.000544
1.65,0.000575,0.000556,-5.56E-04,5.56E-04,0.000553
1.66,0.000585,0.000566,-5.66E-04,5.66E-04,0.000563
1.67,0.000595,0.000576,-5.76E-04,5.76E-04,0.000573
1.68,0.000605,0.000586,-5.86E-04,5.86E-04,0.000583
1.69,0.000615,0.000595,-5.95E-04,5.95E-04,0.000592
1.7,0.000625,0.000605,-6.05E-04,6.05E-04,0.000602
1.71,0.000635,0.000615,-6.15E-04,6.15E-04,0.000612
1.72,0.000646,0.000625,-6.25E-04,6.25E-04,0.000622
1.73,0.000656,0.000636,-6.36E-04,6.36E-04,0.000632
1.74,0.000667,0.000646,-6.46E-04,6.46E-04,0.000643
1.75,0.000678,0.000657,-6.57E-04,6.57E-04,0.000653
1.76,0.000689,0.000668,-6.68E-04,6.68E-04,0.000664
1.77,0.0007,0.000678,-6.78E-04,6.78E-04,0.000674
1.78,0.000711,0.000689,-6.89E-04,6.89E-04,0.000685
1.79,0.000722,0.0007,-7.00E-04,7.00E-04,0.000696
1.8,0.000734,0.000711,-7.11E-04,7.11E-04,0.000706
1.81,0.000745,0.000722,-7.22E-04,7.22E-04,0.000717
1.82,0.000756,0.000732,-7.32E-04,7.32E-04,0.000728
1.83,0.000767,0.000743,-7.43E-04,7.43E-04,0.000738
1.84,0.000778,0.000754,-7.54E-04,7.54E-04,0.000749
1.85,0.000789,0.000765,-7.65E-04,7.65E-04,0.00076
1.86,0.0008,0.000777,-7.77E-04,7.77E-04,0.000771
1.87,0.000812,0.000788,-7.88E-04,7.88E-04,0.000783
1.88,0.000824,0.0008,-8.00E-04,8.00E-04,0.000794
1.89,0.000836,0.000811,-8.11E-04,8.11E-04,0.000805
1.9,0.000848,0.000823,-8.23E-04,8.23E-04,0.000817
1.91,0.00086,0.000834,-8.34E-04,8.34E-04,0.000828
1.92,0.000872,0.000846,-8.46E-04,8.46E-04,0.00084
1.93,0.000884,0.000858,-8.58E-04,8.58E-04,0.000851
1.94,0.000896,0.000869,-8.69E-04,8.69E-04,0.000863
1.95,0.000908,0.000881,-8.81E-04,8.81E-04,0.000874
1.96,0.00092,0.000893,-8.93E-04,8.93E-04,0.000886
1.97,0.000933,0.000905,-9.05E-04,9.05E-04,0.000898
1.98,0.000945,0.000917,-9.17E-04,9.17E-04,0.00091
