"Ix","Iz"
-0.00217111794569,1.048e-06
-0.00232720247896,1.315e-06
-0.00249450813523,1.624e-06
-0.00267384161584,1.978e-06
-0.00286606761695,2.34e-06
-0.00307211299886,2.76e-06
-0.0032929712551,3.27e-06
-0.00352970730273,3.8e-06
-0.00378346261713,4.41e-06
-0.00405546073584,5.06e-06
-0.00434701315813,5.76e-06
-0.00465952566866,6.54e-06
-0.00499450511586,7.38e-06
-0.00535356667741,8.28e-06
-0.0057384416483,9.24e-06
-0.00615098578858,1.025e-05
-0.00659318827133,1.133e-05
-0.00706718127393,1.247e-05
-0.00757525025877,1.366e-05
-0.00811984499318,1.494e-05
-0.00870359136149,1.628e-05
-0.00932930402628,1.765e-05
-0.01,1.909e-05
