"V1","V2","I1","I2","V"
2.77,2.5,-2.9e-09,0.001154,0.888
2.775,2.5,2.8e-09,0.001152,0.889
2.78,2.5,-2.6e-09,0.001151,0.891
2.785,2.5,2.3e-09,0.001149,0.892
2.79,2.5,2e-10,0.001147,0.893
2.795,2.5,1.5e-09,0.001145,0.894
2.8,2.5,1.6e-09,0.001144,0.895
2.805,2.5,-1e-09,0.001142,0.896
2.81,2.5,-1e-10,0.00114,0.897
2.815,2.5,-9e-10,0.001138,0.899
2.82,2.5,1.6e-09,0.001137,0.9
2.825,2.5,1e-09,0.001135,0.901
2.83,2.5,1.2e-09,0.001133,0.902
2.835,2.5,-3.2e-09,0.001131,0.904
2.84,2.5,2.7e-09,0.00113,0.904
2.845,2.5,1e-09,0.001128,0.906
2.85,2.5,-6e-10,0.001126,0.907
2.855,2.5,3e-10,0.001124,0.908
2.86,2.5,2.3e-09,0.001123,0.909
2.865,2.5,-1e-10,0.001121,0.91
2.87,2.5,1.7e-09,0.001119,0.911
2.875,2.5,1.6e-09,0.001117,0.913
2.88,2.5,2e-10,0.001115,0.914
2.885,2.5,2e-09,0.001114,0.915
2.89,2.5,-2.5e-09,0.001112,0.916
2.895,2.5,-2.1e-09,0.00111,0.917
2.9,2.5,2.6e-09,0.001108,0.919
2.905,2.5,4.5e-09,0.001107,0.92
2.91,2.5,-1.2e-09,0.001105,0.921
2.915,2.5,1.7e-09,0.001103,0.922
2.92,2.5,2.5e-09,0.001101,0.923
2.925,2.5,7e-10,0.001099,0.925
2.93,2.5,1.3e-09,0.001098,0.926
2.935,2.5,1.7e-09,0.001096,0.927
2.94,2.5,2e-09,0.001094,0.928
2.945,2.5,1e-09,0.001092,0.929
2.95,2.5,-2.1e-09,0.001091,0.931
2.955,2.5,9e-10,0.001089,0.932
2.96,2.5,-2e-10,0.001087,0.933
2.965,2.5,2.7e-09,0.001085,0.934
2.97,2.5,-1.7e-09,0.001083,0.935
2.975,2.5,2.1e-09,0.001081,0.937
