"Vin","Vout"
1.45,0.95
1.46,0.95
1.47,0.947
1.48,0.954
1.49,0.958
1.5,0.959
1.51,0.956
1.52,0.963
1.53,0.967
1.54,0.968
1.55,0.964
1.56,0.971
1.57,0.976
1.58,0.976
1.59,0.972
1.6,0.98
1.61,0.984
1.62,0.985
1.63,0.98
1.64,0.988
1.65,0.992
1.66,0.993
1.67,0.988
1.68,0.996
1.69,1.0
1.7,1.001
1.71,0.996
1.72,1.004
1.73,1.008
1.74,1.009
1.75,1.004
1.76,1.012
1.77,1.016
1.78,1.017
1.79,1.012
1.8,1.02
1.81,1.024
1.82,1.024
1.83,1.019
1.84,1.027
1.85,1.031
1.86,1.032
1.87,1.026
1.88,1.034
1.89,1.039
1.9,1.039
1.91,1.034
1.92,1.042
1.93,1.046
1.94,1.047
1.95,1.041
1.96,1.049
1.97,1.054
1.98,1.054
1.99,1.057
2.0,1.058
2.01,1.061
2.02,1.062
2.03,1.055
2.04,1.064
2.05,1.068
2.06,1.069
2.07,1.072
2.08,1.073
2.09,1.075
2.1,1.077
2.11,1.079
2.12,1.08
2.13,1.082
2.14,1.083
2.15,1.086
2.16,1.087
2.17,1.089
2.18,1.09
2.19,1.093
2.2,1.094
2.21,1.096
2.22,1.097
2.23,1.099
2.24,1.1
2.25,1.103
2.26,1.104
2.27,1.106
2.28,1.107
2.29,1.109
2.3,1.11
2.31,1.112
2.32,1.114
2.33,1.116
2.34,1.117
2.35,1.119
2.36,1.12
2.37,1.122
2.38,1.123
2.39,1.126
2.4,1.127
2.41,1.129
2.42,1.13
2.43,1.132
2.44,1.133
2.45,1.135
2.46,1.136
2.47,1.137
2.48,1.138
2.49,1.141
2.5,1.142
2.51,1.143
2.52,1.145
2.53,1.146
2.54,1.148
2.55,1.149
2.56,1.151
2.57,1.152
2.58,1.154
2.59,1.155
2.6,1.157
2.61,1.158
2.62,1.159
2.63,1.16
2.64,1.162
2.65,1.164
2.66,1.165
2.67,1.166
2.68,1.168
2.69,1.169
2.7,1.17
2.71,1.172
2.72,1.173
2.73,1.174
2.74,1.176
2.75,1.177
2.76,1.179
2.77,1.18
2.78,1.181
2.79,1.182
2.8,1.184
2.81,1.185
2.82,1.186
2.83,1.187
2.84,1.188
2.85,1.189
2.86,1.191
2.87,1.192
2.88,1.193
2.89,1.194
2.9,1.195
2.91,1.196
2.92,1.198
2.93,1.198
2.94,1.2
2.95,1.201
2.96,1.203
2.97,1.203
2.98,1.205
2.99,1.205
3.0,1.207
3.01,1.208
3.02,1.209
3.03,1.21
3.04,1.211
3.05,1.212
3.06,1.212
3.07,1.214
3.08,1.215
3.09,1.217
3.1,1.217
3.11,1.219
3.12,1.218
3.13,1.221
3.14,1.22
3.15,1.223
3.16,1.222
3.17,1.225
3.18,1.223
3.19,1.227
3.2,1.224
3.21,1.229
3.22,1.226
3.23,1.231
3.24,1.228
3.25,1.233
3.26,1.228
3.27,1.234
3.28,1.228
3.29,1.236
3.3,1.231
3.31,1.239
3.32,1.232
3.33,1.24
3.34,1.23
3.35,1.242
3.36,1.233
3.37,1.244
3.38,1.235
3.39,1.246
3.4,1.232
3.41,1.247
3.42,1.232
3.43,1.248
3.44,1.235
3.45,1.25
3.46,1.232
3.47,1.251
3.48,1.228
3.49,1.252
3.5,1.23
3.51,1.254
3.52,1.231
3.53,1.255
3.54,1.224
3.55,1.255
3.56,1.221
3.57,1.256
3.58,1.224
3.59,1.257
3.6,1.219
3.61,1.258
3.62,1.208
3.63,1.257
3.64,1.209
3.65,1.256
3.66,1.211
3.67,1.257
3.68,1.197
3.69,1.254
3.7,1.191
3.71,1.25
3.72,1.195
3.73,1.25
3.74,1.186
3.75,1.247
3.76,1.172
3.77,1.238
3.78,1.171
3.79,1.232
3.8,1.169
3.81,1.227
3.82,1.154
3.83,1.213
3.84,1.142
3.85,1.2
3.86,1.14
3.87,1.191
3.88,1.131
3.89,1.178
3.9,1.114
3.91,1.16
3.92,1.104
3.93,1.153
3.94,1.095
3.95,1.14
3.96,1.079
3.97,1.123
3.98,1.061
3.99,1.105
4.0,1.045
4.01,1.088
4.02,1.022
4.03,1.063
4.04,0.998
4.05,1.045
4.06,0.979
4.07,1.019
4.08,0.958
4.09,1.001
4.1,0.937
4.11,0.98
4.12,0.913
4.13,0.957
4.14,0.891
4.15,0.934
4.16,0.87
4.17,0.921
4.18,0.851
4.19,0.899
4.2,0.841
4.21,0.89
4.22,0.826
4.23,0.869
4.24,0.8
4.25,0.851
4.26,0.783
4.27,0.833
4.28,0.766
4.29,0.815
4.3,0.743
4.31,0.796
4.32,0.725
4.33,0.776
4.34,0.704
4.35,0.757
4.36,0.685
4.37,0.735
4.38,0.661
4.39,0.618
4.4,0.595
4.41,0.699
4.42,0.631
4.43,0.581
4.44,0.559
4.45,0.554
4.46,0.543
4.47,0.539
4.48,0.525
4.49,0.519
4.5,0.504
4.51,0.495
4.52,0.481
4.53,0.472
4.54,0.457
4.55,0.45
4.56,0.434
4.57,0.427
4.58,0.412
4.59,0.405
4.6,0.391
4.61,0.384
4.62,0.371
4.63,0.364
4.64,0.35
4.65,0.343
4.66,0.328
4.67,0.322
4.68,0.308
4.69,0.302
4.7,0.289
4.71,0.284
4.72,0.271
4.73,0.266
4.74,0.253
4.75,0.247
4.76,0.232
4.77,0.226
4.78,0.21
4.79,0.201
4.8,0.184
4.81,0.177
4.82,0.159
4.83,0.152
4.84,0.15
4.85,0.154
4.86,0.144
4.87,0.131
4.88,0.109
4.89,0.105
4.9,0.089
4.91,0.085
4.92,0.069
4.93,0.063
4.94,0.049
4.95,0.043
4.96,0.029
4.97,0.024
4.98,0.01
4.99,0.005
5.0,-0.01
