Vout,Iout
2.265,3.14E-06
2.27,3.17E-06
2.275,3.19E-06
2.28,3.22E-06
2.285,3.25E-06
2.29,3.28E-06
2.295,3.31E-06
2.3,3.34E-06
2.305,3.36E-06
2.31,3.39E-06
2.315,3.42E-06
2.32,3.45E-06
2.325,3.47E-06
2.33,3.49E-06
2.335,3.53E-06
2.34,3.55E-06
2.345,3.59E-06
2.35,3.62E-06
2.355,3.66E-06
2.36,3.68E-06
2.365,3.71E-06
2.37,3.74E-06
2.375,3.77E-06
2.38,3.80E-06
2.385,3.83E-06
2.39,3.86E-06
2.395,3.89E-06
2.4,3.91E-06
2.405,3.93E-06
2.41,3.97E-06
2.415,4.00E-06
2.42,4.02E-06
2.425,4.05E-06
2.43,4.08E-06
2.435,4.11E-06
2.44,4.14E-06
2.445,4.17E-06
2.45,4.20E-06
2.455,4.22E-06
2.46,4.25E-06
2.465,4.28E-06
2.47,4.31E-06
2.475,4.33E-06
2.48,4.36E-06
2.485,4.39E-06
2.49,4.42E-06
2.495,4.45E-06
2.5,4.48E-06
2.505,4.51E-06
2.51,4.54E-06
2.515,4.57E-06
2.52,4.59E-06
2.525,4.63E-06
2.53,4.66E-06
2.535,4.68E-06
2.54,4.71E-06
2.545,4.74E-06
2.55,4.77E-06
2.555,4.80E-06
2.56,4.82E-06
2.565,4.85E-06
2.57,4.88E-06
2.575,4.91E-06
2.58,4.94E-06
2.585,4.96E-06
2.59,4.99E-06
2.595,5.03E-06
2.6,5.06E-06
2.605,5.08E-06
2.61,5.09E-06
2.615,5.15E-06
2.62,5.17E-06
2.625,5.20E-06
2.63,5.23E-06
2.635,5.27E-06
2.64,5.29E-06
2.645,5.32E-06
2.65,5.35E-06
2.655,5.38E-06
2.66,5.41E-06
2.665,5.44E-06
2.67,5.47E-06
2.675,5.50E-06
2.68,5.52E-06
2.685,5.55E-06
2.69,5.58E-06
2.695,5.60E-06
2.7,5.64E-06
2.705,5.67E-06
2.71,5.69E-06
2.715,5.72E-06
2.72,5.76E-06
2.725,5.78E-06
2.73,5.81E-06
2.735,5.84E-06
2.74,5.86E-06
2.745,5.89E-06
2.75,5.92E-06
2.755,5.95E-06
2.76,5.98E-06
2.765,6.01E-06
2.77,6.04E-06
2.775,6.07E-06
2.78,6.10E-06
2.785,6.13E-06
2.79,6.13E-06
2.795,6.17E-06
2.8,6.21E-06
2.805,6.24E-06
2.81,6.27E-06
2.815,6.29E-06
2.82,6.32E-06
2.825,6.36E-06
2.83,6.39E-06
2.835,6.42E-06
2.84,6.44E-06
2.845,6.48E-06
2.85,6.51E-06
2.855,6.54E-06
2.86,6.59E-06
2.865,6.61E-06
2.87,6.64E-06
2.875,6.67E-06
2.88,6.71E-06
2.885,6.73E-06
2.89,6.76E-06
2.895,6.79E-06
2.9,6.82E-06
2.905,6.86E-06
2.91,6.88E-06
2.915,6.91E-06
2.92,6.95E-06
2.925,6.97E-06
2.93,7.00E-06
2.935,7.02E-06
2.94,7.06E-06
2.945,7.09E-06
2.95,7.13E-06
2.955,7.16E-06
2.96,7.19E-06
2.965,7.22E-06
2.97,7.24E-06
2.975,7.28E-06
2.98,7.31E-06
2.985,7.34E-06
2.99,7.37E-06
2.995,7.40E-06
3,7.44E-06
3.005,7.47E-06
3.01,7.50E-06
3.015,7.53E-06
3.02,7.56E-06
3.025,7.60E-06
3.03,7.62E-06
3.035,7.66E-06
3.04,7.69E-06
3.045,7.72E-06
3.05,7.76E-06
3.055,7.78E-06
3.06,7.81E-06
3.065,7.84E-06
3.07,7.87E-06
3.075,7.90E-06
3.08,7.93E-06
3.085,7.96E-06
3.09,7.99E-06
3.095,8.03E-06
3.1,8.06E-06
3.105,8.09E-06
3.11,8.13E-06
3.115,8.17E-06
3.12,8.19E-06
3.125,8.23E-06
3.13,8.26E-06
3.135,8.29E-06
3.14,8.32E-06
3.145,8.36E-06
